,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
102,Marea roja,(1995),13,116.0,7.3,66.0,113937.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
103,Masacre (Ven y mira),(1985),18,142.0,8.4,NaN,79910.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
104,Master and Commander: Al otro lado del mundo,(2003),7,138.0,7.4,81.0,222725.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,Masters of the Air,(2023– ),,NaN,NaN,NaN,NaN,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
106,Medieval,(2022),R,126.0,5.9,46.0,4478.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
107,Megan Leavey,(2017),PG-13,116.0,7.1,66.0,24273.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
108,Midway,(2019),12,138.0,6.7,47.0,86122.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
109,Mulán,(1998),A,88.0,7.6,71.0,288543.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Napoleon,,,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,Overlord,(2018),18,110.0,6.6,60.0,99877.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
112,Pasajero oculto,(2020),12,83.0,5.0,66.0,27240.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
113,Pearl Harbor,(2001),7,183.0,6.2,44.0,333678.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
114,Platoon,(1986),18,120.0,8.1,92.0,414413.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
115,Pánico nuclear,(2002),13,128.0,6.4,45.0,117368.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
116,Resistencia,(2020),16,120.0,6.4,53.0,7352.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
117,Roma,(2005–2007),18,52.0,8.7,NaN,172019.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
118,SEAL Team,(2017– ),12,43.0,7.7,NaN,26172.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
119,Salvar al soldado Ryan,(1998),13,169.0,8.6,91.0,1383442.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
