,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,ANIMATION,C,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,MYSTERY,ROMANCE,S,SCI-FI,SHORT,THRILLER
124,Los juegos del hambre: En llamas,(2013),12,146.0,7.5,76.0,664516.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,M3GAN,(2023),PG-13,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
127,Mad Max: Furia en la carretera,(2015),16,120.0,8.1,90.0,997379.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
128,Manifest,(2018– ),12,43.0,7.1,NaN,63544.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
129,Marte (The Martian),(2015),7,144.0,8.0,80.0,850197.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
130,Matrix,(1999),18,136.0,8.7,73.0,1902076.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,Matrix Resurrections,(2021),16,148.0,5.7,63.0,247694.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
132,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
133,Minority Report,(2002),13,145.0,7.7,80.0,551714.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
134,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
135,Moonfall,(2022),12,130.0,5.1,41.0,76299.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
136,Morbius,(2022),12,104.0,5.2,35.0,119109.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
137,Mr. Mercedes,(2017–2019),18,60.0,7.8,NaN,22301.0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
138,Ms. Marvel,(2022),7,271.0,6.2,NaN,101198.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
139,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61992.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Next Exit,(2022),,106.0,5.7,59.0,468.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
142,Night Sky,(2022),14,55.0,7.4,NaN,17171.0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
143,No mires arriba,(2021),16,138.0,7.2,49.0,532078.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
144,Obi-Wan Kenobi,(2022),12,NaN,7.1,NaN,187634.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,Oblivion,(I) (2013),12,124.0,7.0,54.0,525731.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
146,Ojo de Halcón,(2021),12,339.0,7.5,NaN,180042.0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
147,Origen,(2010),12,148.0,8.8,74.0,2334667.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Para toda la humanidad,(2019– ),12,60.0,8.0,NaN,42892.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
149,Passengers,(I) (2016),7,116.0,7.0,41.0,405506.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
150,Perdidos,(2004–2010),16,44.0,8.3,NaN,552044.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
151,Person of Interest,(2011–2016),12,43.0,8.5,NaN,176612.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
152,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,182936.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
153,Quantum Leap,(2022– ),,42.0,5.6,NaN,4979.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
154,R.I.P.D.: Departamento de policía mortal,(2013),12,96.0,5.6,25.0,134384.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Ready Player One,(2018),7,140.0,7.4,64.0,435127.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
156,Regreso al futuro,(1985),A,116.0,8.5,87.0,1197080.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
157,Resident Alien,(2021– ),12,44.0,8.1,NaN,40455.0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
158,Rick y Morty,(2013– ),18,23.0,9.1,NaN,515661.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
159,RoboCop,(1987),12,102.0,7.6,70.0,259710.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
160,Rogue One. Una historia de Star Wars,(2016),7,133.0,7.8,65.0,633497.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
161,Samaritan,(2022),14,102.0,5.7,45.0,42887.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
162,Sandman,(2022– ),18,45.0,7.7,NaN,136905.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
163,See,(2019–2022),16,60.0,7.6,NaN,83962.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
164,Separación,(2022– ),16,55.0,8.7,NaN,112601.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
165,Shang-Chi y la leyenda de los diez anillos,(2021),12,132.0,7.4,71.0,377512.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,She-Hulk: Abogada Hulka,(2022),12,35.0,5.2,NaN,158709.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
167,Significant Other,(2022),R,84.0,5.7,57.0,4986.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
168,Smallville,(2001–2017),7,60.0,7.5,NaN,128364.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
169,Snowpiercer (Rompenieves),(2013),16,126.0,7.1,84.0,361442.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
