,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
116,La milla verde,(1999),13,189.0,8.6,61.0,1293397.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
117,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4300.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,Ladrón de guante blanco,(2009–2014),12,40.0,8.3,NaN,131947.0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Las dos caras de la verdad,(1996),18,129.0,7.7,47.0,218486.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,Legacies,(2018–2022),16,45.0,7.3,NaN,32015.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,Ley y orden,(1990– ),13,45.0,7.8,NaN,39157.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
122,Ley y orden: Crimen organizado,(2021– ),,42.0,7.7,NaN,7413.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
123,Ley y orden: Unidad de Víctimas Especiales,(1999– ),18,60.0,8.1,NaN,106761.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
124,Line of Duty,(2012–2021),16,60.0,8.7,NaN,59378.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
125,Locke & Key,(2020–2022),13,48.0,7.3,NaN,86703.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
126,Los 100,(2014–2020),16,43.0,7.6,NaN,251028.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
127,Los Imperfectos,(2022),16,45.0,6.4,NaN,5132.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Los asesinatos de Midsomer,(1997– ),12,90.0,7.9,NaN,33606.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
129,Los misterios de Murdoch,(2008– ),7,48.0,8.2,NaN,14627.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
130,Los odiosos ocho,(2015),18,168.0,7.8,68.0,597756.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,Los originales,(2013–2018),12,45.0,8.3,NaN,136188.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
132,Los voyeurs,(2021),18,116.0,6.0,54.0,22254.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
133,Lou,(I) (2022),16,107.0,6.1,51.0,21794.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
135,Low Country: The Murdaugh Dynasty,(2022),,149.0,7.4,NaN,375.0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Madre!,(2017),16,121.0,6.6,75.0,226855.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
137,Magpie Murders,(2022– ),,45.0,7.4,NaN,2707.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
138,Mamá te quiere,(I) (2020),12,90.0,6.7,67.0,79698.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
139,Manifest,(2018– ),12,43.0,7.1,NaN,63544.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
140,Mare of Easttown,(2021),18,60.0,8.4,NaN,155394.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
141,Memento,(2000),13,113.0,8.4,80.0,1232947.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
142,Mentes criminales,(2005–2020),13,42.0,8.1,NaN,196969.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
143,Midsommar,(2019),18,148.0,7.1,72.0,319457.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
144,Mindhunter,(2017–2019),16,60.0,8.6,NaN,287094.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
145,Mira cómo corren,(2022),12,98.0,6.5,60.0,25286.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
146,Misa de medianoche,(2021),16,450.0,7.7,NaN,116164.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
147,Misterios sin resolver,(2020– ),13,45.0,7.3,NaN,10610.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
148,Miércoles,(2022– ),,NaN,8.6,NaN,227.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
149,Monk,(2002–2009),13,44.0,8.0,NaN,75874.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,Muerte en el Nilo,(2022),12,127.0,6.3,52.0,144558.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
151,Mujeres desesperadas,(2004–2012),12,45.0,7.6,NaN,129291.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
152,Mulholland Drive,(2001),18,147.0,7.9,85.0,355806.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
153,My Life Is Murder,(2019– ),,60.0,7.5,NaN,3789.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,NCIS: Hawai'i,(2021– ),,43.0,6.4,NaN,5993.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
155,Navy: Investigación criminal,(2003– ),12,60.0,7.8,NaN,147609.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,Next Exit,(2022),,106.0,5.7,59.0,468.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
157,Nosotros,(II) (2019),16,116.0,6.8,81.0,298205.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
158,Nueve perfectos extraños,(2021–2022),13,388.0,7.0,NaN,50533.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
159,Old Boy,(2003),18,120.0,8.4,77.0,577408.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
160,One of Us Is Lying,(2021– ),16,50.0,6.8,NaN,9661.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
