,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
89,Eternamente amigas,(1988),13,123.0,6.9,46.0,27044.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
90,Fama,(1980),TP,134.0,6.6,58.0,23031.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
91,Fama,(1982–1987),Not Rated,60.0,7.0,NaN,3929.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
92,Fantasía,(1940),A,125.0,7.7,96.0,97200.0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Fiebre del sábado noche,(1977),18,118.0,6.8,77.0,80870.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
94,Find Me in Paris,(2018–2020),,25.0,7.0,NaN,1506.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Fisherman's Friends: One and All,(2022),PG-13,111.0,6.3,29.0,659.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
96,Flashdance,(1983),A,95.0,6.2,39.0,54369.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
97,Footloose,(1984),13,107.0,6.6,42.0,81867.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
98,Footloose 2011,(2011),7,113.0,5.8,58.0,50461.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
99,Fosse/Verdon,(2019),16,402.0,7.9,NaN,6524.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,Frank,(II) (2014),12,95.0,6.9,75.0,79557.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
101,George & Tammy,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
102,Get Rich or Die Tryin',(2005),R,117.0,5.4,45.0,47756.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Girls5eva,(2021– ),,30.0,7.2,NaN,3615.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,Glee,(2009–2015),A,44.0,6.8,NaN,148696.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
105,Gran bola de fuego,(1989),A,108.0,6.3,49.0,18171.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
106,Granujas a todo ritmo (The Blues Brothers),(1980),A,133.0,7.9,60.0,200429.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,Grease 2,(1982),A,115.0,4.5,52.0,36271.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
108,Green Book,(2018),12,130.0,8.2,69.0,487640.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,Green Room,(2015),16,95.0,7.0,79.0,125290.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110,Ha nacido una estrella,(1976),14,139.0,6.1,59.0,11929.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
111,Ha nacido una estrella,(2018),12,136.0,7.6,88.0,383325.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
112,"Hairspray, fiebre de los 60",(1988),A,92.0,7.0,77.0,21748.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,Hannah Montana,(2006–2011),TP,23.0,5.2,NaN,40721.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
114,Hannah Montana: La película,(2009),TP,102.0,4.5,47.0,43076.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Happy Feet: Rompiendo el hielo,(2006),A,108.0,6.4,77.0,187119.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,Her Smell,(2018),R,136.0,6.0,69.0,7466.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,High School Musical,(2006 TV Movie),TP,98.0,5.5,NaN,89312.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,High School Musical 2,(2007 TV Movie),A,104.0,5.1,NaN,61273.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,High School Musical 3: Fin de curso,(2008),TP,112.0,4.9,57.0,63385.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Honey,(2003),A,94.0,5.3,37.0,46017.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
121,Horton,(2008),A,86.0,6.8,71.0,141548.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,House Party,(1990),,100.0,6.4,76.0,15221.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
123,Hustle & Flow,(2005),R,116.0,7.3,68.0,41065.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,I Still Believe,(2020),PG,116.0,6.4,41.0,12209.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
125,I'm Not There,(2007),7,135.0,6.8,73.0,59235.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
126,In Living Color,(1990–1994),,30.0,8.1,NaN,11569.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
127,Josie y las melódicas,(2001),A,98.0,5.5,47.0,23520.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,"Juliet, desnuda",(2018),7,97.0,6.6,67.0,22976.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,La Navidad de Carlitos,(1965 TV Movie),TP,25.0,8.3,NaN,37810.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,La bamba,(1987),,108.0,6.9,65.0,34117.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
131,La canción de mi padre,(2018),12,110.0,7.3,30.0,16494.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,La ciudad de las estrellas. La La Land,(2016),A,128.0,8.0,94.0,584641.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
133,La cuadrilla de los once,(1960),13,127.0,6.5,57.0,23477.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
134,La doble vida de Verónica,(1991),13,98.0,7.7,86.0,49172.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,La juventud,(I) (2015),12,124.0,7.3,64.0,79070.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
136,La leyenda del pianista en el océano,(1998),7,169.0,8.0,58.0,64808.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
137,La madre del blues,(2020),16,94.0,6.9,87.0,53775.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
138,La perfección,(2018),16,90.0,6.2,60.0,44121.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
139,La pianista,(2001),18,131.0,7.5,79.0,65141.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
140,La playlist,(2022),12,300.0,7.5,NaN,6361.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
141,La última canción,(2010),A,108.0,6.0,33.0,88276.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
142,Las alucinantes aventuras de Bill y Ted,(1989),A,90.0,6.9,50.0,132206.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
143,"Las aventuras de Priscilla, reina del desierto",(1994),13,104.0,7.5,70.0,50934.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
144,Laugh-In,(1967–1973),,60.0,8.0,NaN,3225.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
145,LazyTown,(2002–2014),TP,30.0,5.9,NaN,7444.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,LelleBelle,(2010 TV Movie),,85.0,5.5,NaN,1267.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
147,Lizzie Superstar,(2003),A,94.0,5.5,56.0,40028.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,Los Conchords,(2007–2009),7,28.0,8.6,NaN,61662.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
