,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,TALK-SHOW,THRILLER,WESTERN
122,Lo extraño de los Johnsons,(2011),,28.0,7.2,NaN,6163.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
123,Looney Tunes Cartoons,(2019– ),,12.0,8.0,NaN,1455.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
124,Lopez vs. Lopez,(2022– ),,22.0,5.2,NaN,300.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
125,Los Croods: árbol genealógico,(2021– ),,22.0,6.8,NaN,2931.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
126,Los pingüinos de Madagascar,(2008–2015),TP,11.0,7.5,NaN,19134.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
127,Love Duo,(2020 Video),,15.0,8.2,NaN,21.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
128,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
129,Mama Mia!: La preparación de un cantante,(2008 Video),,11.0,6.5,NaN,173.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
130,Mickey Mouse,(2013–2019),,4.0,8.1,NaN,3266.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
131,Mickey Mouse Funhouse,(2021– ),,11.0,5.6,NaN,201.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,Mickey y los superpilotos,(2017–2021),,21.0,6.0,NaN,608.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
133,Monster,(I) (2005),,10.0,6.8,NaN,1174.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
134,Mortal Kombat,(2011–2013),,10.0,7.3,NaN,9871.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
135,Most Dangerous Game,(2020),18,7.0,6.6,NaN,11793.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
136,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56841.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
137,Nande Koko ni Sensei ga!?,(2019– ),,12.0,6.3,NaN,1519.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
138,Need,(2008),,32.0,7.3,NaN,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
