,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,O,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR
111,La gran apuesta,(2015),12,130.0,7.8,81.0,430586.0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,La maravillosa Sra. Maisel,(2017– ),18,57.0,8.7,NaN,114162.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4300.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,La peli del fútbol,(2022),7,73.0,3.1,NaN,402.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,La vida sexual de las universitarias,(2021– ),16,39.0,7.8,NaN,16670.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,Larry David,(2000– ),18,28.0,8.8,NaN,128752.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,Las chicas Gilmore,(2000–2007),7,44.0,8.2,NaN,126992.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Licorice Pizza,(2021),12,133.0,7.2,90.0,112075.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
119,"Lights, Camera, Christmas!",(2022 TV Movie),,84.0,6.8,NaN,483.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
120,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2595.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,Lo que hacemos en las sombras,(2019– ),16,30.0,8.6,NaN,77503.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
122,Lopez vs. Lopez,(2022– ),,22.0,5.2,NaN,300.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
123,Los Cazafantasmas,(1984),A,105.0,7.8,71.0,415739.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Los Goldberg,(2013– ),7,22.0,8.1,NaN,37604.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Los Goonies,(1985),A,114.0,7.7,62.0,274432.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,Los Simpson,(1989– ),7,22.0,8.7,NaN,406406.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Los tipos malos,(2022),A/i,100.0,6.8,64.0,37549.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
