,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
143,Los vigilantes de la playa,(1989–2001),A,60.0,5.4,NaN,28172.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
145,Mad Max: Furia en la carretera,(2015),16,120.0,8.1,90.0,997379.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
146,Malditos bastardos,(2009),18,153.0,8.3,69.0,1438612.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
147,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Moonfall,(2022),12,130.0,5.1,41.0,76299.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
149,Morbius,(2022),12,104.0,5.2,35.0,119109.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61992.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Naruto,(2002–2007),13,24.0,8.4,NaN,101861.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125849.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,Obi-Wan Kenobi,(2022),12,NaN,7.1,NaN,187634.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,Oblivion,(I) (2013),12,124.0,7.0,54.0,525731.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,One Piece Film Red,(2022),12,115.0,6.9,69.0,6463.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Operación U.N.C.L.E.,(2015),12,116.0,7.2,56.0,308759.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,Origen,(2010),12,148.0,8.8,74.0,2334667.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,Percy Jackson and the Olympians,(2023– ),,60.0,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
161,Perdidos,(2004–2010),16,44.0,8.3,NaN,552044.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
162,Pinocho,(I) (2022),12,105.0,5.1,38.0,31235.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
