,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
150,Llamad a cualquier puerta,(1949),,100,6.7,NaN,3739,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
151,Los amantes de la noche,(1948),Passed,95,7.4,82.0,8501,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
152,Los condenados no lloran,(1950),,103,7.2,NaN,3114,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
153,Los sobornados,(1953),13,89,7.9,NaN,27041,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
154,Los verdugos también mueren,(1943),13,134,7.4,NaN,5678,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
155,Los violentos años veinte,(1939),,106,7.9,NaN,14291,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
156,M,(1951),,88,6.8,NaN,2182,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
157,Manos peligrosas,(1953),,80,7.6,NaN,14915,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
158,Mercado de ladrones,(1949),,94,7.5,NaN,6233,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
159,Mi nombre es Julia Ross,(1945),,65,7.0,NaN,3329,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
160,Miedo súbito,(1952),,110,7.5,NaN,6500,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
161,Mientras Nueva York duerme,(1956),18,100,6.9,NaN,6516,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
162,Mr. Arkadin,(1955),,93,7.1,NaN,8641,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
163,Murder Is My Beat,(1955),,77,6.0,NaN,717,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
164,Murder by an Aristocrat,(1936),,60,5.6,NaN,244,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
165,Más allá de la duda,(1956),,80,6.9,NaN,5493,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
166,Más dura será la caída,(1956),13,109,7.5,NaN,8353,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
167,Nacida para el mal,(1950),,94,6.7,NaN,2486,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
168,Nacido para matar,(1947),,92,7.2,NaN,5500,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
169,Nadie puede vencerme,(1949),,73,7.8,NaN,9231,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
170,New York Confidential,(1955),,88,7.0,NaN,750,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
171,Niebla en el alma,(1952),,76,6.8,NaN,7231,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
172,Nightfall,(1956),,78,7.2,NaN,4123,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
173,Niágara,(1953),A,92,7.0,NaN,18090,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
174,Noche en el alma,(1944),,91,6.4,NaN,1786,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
175,Noche en la ciudad,(1950),,101,7.9,NaN,14064,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
176,Noche eterna,(1947),,101,6.5,NaN,1798,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
177,Odio entre hermanos,(1949),18,101,7.4,NaN,3735,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
178,Ola de crímenes,(1953),,73,7.3,NaN,4079,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
179,Orden: Caza sin cuartel,(1948),,79,7.1,NaN,6135,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
180,Pacto tenebroso,(1948),,97,6.8,NaN,1868,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
181,Pasión que redime,(1947),,85,6.5,NaN,1470,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
182,Paula,(1947),,82,6.9,NaN,1928,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
