,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
105,Juego de tronos,(2011–2019),18,57.0,9.2,NaN,2082679.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Jóvenes altezas,(2021– ),16,50.0,8.3,NaN,32817.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,Kantara,(2022),,148.0,9.0,NaN,66754.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Karen Pirie,(2022– ),,120.0,7.6,NaN,2983.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
109,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,La Brea,(2021– ),,NaN,5.7,NaN,11343.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
111,La Emperatriz,(2022– ),,55.0,7.8,NaN,8123.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
112,La Escuela del Bien y del Mal,(2022),12,147.0,5.8,30.0,21479.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,La casa de papel,(2017–2021),16,70.0,8.2,NaN,474328.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,La casa del dragón,(2022– ),18,NaN,8.5,NaN,256364.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,La chica de la limpieza,(2022– ),,45.0,7.0,NaN,7134.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,La chica que lo tenía todo,(2022),16,113.0,6.4,54.0,38194.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
117,La chica salvaje,(2022),12,125.0,7.1,43.0,52328.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
118,La costa de los mosquitos,(2021– ),16,60.0,6.9,NaN,12000.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
119,La lista final,(2022– ),16,55.0,8.0,NaN,86758.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
120,La maldición de Hill House,(2018),16,572.0,8.6,NaN,243858.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
121,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
