,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,M,MUSIC,MUSICAL,ROMANCE,S,SCI-FI,SHORT,U
152,Mad Monster Party?,(1967),,94.0,6.6,NaN,3315.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
153,Mamma Mia! La película,(2008),A,108.0,6.5,51.0,246095.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
154,Mamma Mia! Una y otra vez,(2018),A,114.0,6.6,60.0,95734.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
155,Mary Poppins,(1964),A,139.0,7.8,88.0,173077.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
156,"Matilda de Roald Dahl, el musical",(2022),PG,117.0,6.0,67.0,207.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
157,Merlín el encantador,(1963),A,79.0,7.1,61.0,98909.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Monster High,(2022 TV Movie),,92.0,4.7,NaN,1507.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
159,Moulin Rouge,(2001),7,127.0,7.6,66.0,285668.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
160,Mufasa: El Rey León,(2024),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
161,Mulán,(1998),A,88.0,7.6,71.0,287924.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,Music,(I) (2021),12,107.0,3.2,23.0,8142.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
163,My Fair Lady,(1964),14,170.0,7.8,95.0,95941.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
164,My Little Pony: La magia de la amistad,(2010–2020),TP,22.0,7.7,NaN,21180.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,My Little Pony: La película,(2017),7,99.0,6.0,39.0,7175.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,My Little Pony: Una nueva generación,(2021),7,90.0,6.8,NaN,3835.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Navidades blancas,(1954),A,120.0,7.5,56.0,42746.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
168,Nine,(2009),7,118.0,5.8,49.0,44054.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
169,Nunca feliz,(2001),,210.0,7.4,NaN,50318.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
170,Oklahoma,(1955),,145.0,7.0,74.0,13021.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
171,Oliver,(1968),A/i,153.0,7.4,74.0,38723.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
172,Oliver y su pandilla,(1988),A,74.0,6.6,58.0,49034.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Pedro y el dragón Elliot,(1977),A/i,128.0,6.3,46.0,25024.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
