,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,N,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
75,El lago azul,(1980),14,104.0,5.8,31.0,70966.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,El libro de la vida,(2014),7/i,95.0,7.2,67.0,71960.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,El poder del perro,(2021),16,126.0,6.8,89.0,172382.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
78,El secreto de Adaline,(2015),7,112.0,7.2,51.0,182246.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,El sueño de mi vida,(2004),TP,98.0,6.2,57.0,192903.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
80,El verano en que me enamoré,(2022– ),16,45.0,7.4,NaN,18680.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
81,El último hombre en la Tierra,(2015–2018),7,22.0,7.3,NaN,59242.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,El último tango en París,(1972),(Banned),129.0,6.9,77.0,54407.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
83,Ellas dan el golpe,(2022– ),,60.0,7.4,NaN,20925.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,Emily,(2022),R,130.0,7.3,77.0,731.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,Emily en París,(2020– ),13,30.0,6.9,NaN,90159.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,Entergalactic,(2022),16,93.0,7.4,NaN,7019.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
87,Estación 19,(2018– ),12,60.0,6.8,NaN,15247.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
88,Expiación. Más allá de la pasión,(2007),13,123.0,7.8,85.0,278579.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
89,Flames,(2018– ),,20.0,8.9,NaN,29747.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,Footloose,(1984),13,107.0,6.6,42.0,81626.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
91,Forrest Gump,(1994),A,142.0,8.8,82.0,2058686.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
92,Four More Shots Please!,(2019–2022),14,60.0,7.1,NaN,34832.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
93,Friends,(1994–2004),7,22.0,8.9,NaN,986581.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
94,Goofy e hijo,(1995),A,78.0,6.9,53.0,55330.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,Gossip Girl,(2007–2012),13,42.0,7.5,NaN,174496.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
96,Grease,(1978),A,110.0,7.2,70.0,276696.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
97,Ha nacido una estrella,(2018),12,136.0,7.6,88.0,382511.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
98,Habitación en Roma,(2010),16,107.0,6.1,NaN,24346.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,Hasta los huesos: Bones and All,(2022),R,130.0,7.0,75.0,948.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
100,Heartstopper,(2022– ),12,30.0,8.7,NaN,51272.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,Her,(2013),12,126.0,8.0,91.0,609979.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
102,Historia de un matrimonio,(2019),12,137.0,7.9,94.0,306884.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,Hotel Desire,(2011),,38.0,5.7,NaN,3375.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
104,Hércules,(1997),A,93.0,7.3,74.0,231843.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,Imperio de la Luz,(2022),R,119.0,6.5,60.0,426.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,Infiel,(2002),18,125.0,6.7,63.0,90393.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
107,Jexi,(2019),16,84.0,6.0,39.0,27539.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
108,Juego de amor,(2022),,91.0,2.5,NaN,308.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
109,Juegos secretos,(2006),13,137.0,7.5,75.0,112004.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,Jóvenes altezas,(2021– ),16,50.0,8.3,NaN,31390.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,L.,(I) (2004–2009),13,50.0,7.7,NaN,26807.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
112,La Crónica Francesa,(2021),12,107.0,7.2,74.0,119503.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,La Emperatriz,(2022– ),,55.0,7.9,NaN,7307.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
114,La balada de Buster Scruggs,(2018),16,133.0,7.3,79.0,147774.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,La bella y la bestia,(I) (2017),A/i,129.0,7.1,65.0,308785.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,La boda de mi mejor amiga,(I) (2011),12,125.0,6.8,75.0,292730.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,La casa de la pradera,(1974–1983),Not Rated,60.0,7.5,NaN,23762.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,La casa del dragón,(2022– ),18,NaN,8.6,NaN,239140.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119,La ciudad de las estrellas (La La Land),(2016),A,128.0,8.0,94.0,583171.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,La ciudad perdida,(2022),12,112.0,6.1,60.0,111423.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,La cumbre escarlata,(2015),16,119.0,6.5,66.0,148966.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,La doncella,(2016),16,145.0,8.1,84.0,146663.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
123,La forma del agua,(2017),12,123.0,7.3,87.0,418718.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,La niñera,(1993–1999),7,22.0,7.0,NaN,43880.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
125,La novia cadáver,(2005),7,77.0,7.3,83.0,273984.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,La peor persona del mundo,(2021),16,128.0,7.8,90.0,63621.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
