,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,I,M,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER
95,Gotham,(2014–2019),16,42.0,7.8,NaN,230577.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,Grimm,(2011–2017),16,45.0,7.9,NaN,120406.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
97,Hannibal,(2013–2015),18,44.0,8.5,NaN,255135.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
98,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29858.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Hawai 5.0,(2010–2020),12,42.0,7.4,NaN,73903.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,Heat,(1995),13,170.0,8.3,76.0,652815.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Hijos de la anarquía,(2008–2014),16,45.0,8.6,NaN,296960.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,Homeland,(2011–2020),16,55.0,8.3,NaN,341311.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
103,In the Dark,(2019–2022),X,42.0,7.5,NaN,13188.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
104,Infiltrados,(2006),18,151.0,8.5,85.0,1318114.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
105,John Wick (Otro día para matar),(2014),16,101.0,7.4,68.0,628871.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
106,John Wick 4,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,John Wick: Capítulo 3 - Parabellum,(2019),16,130.0,7.4,73.0,342434.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
108,John Wick: Pacto de sangre,(2017),18,122.0,7.4,75.0,430734.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
109,Joker,(I) (2019),18,122.0,8.4,59.0,1265478.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
110,Justified: La ley de Raylan,(2010–2015),16,44.0,8.6,NaN,100828.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,Karen Pirie,(2022– ),,120.0,7.6,NaN,2983.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
112,Kick-Ass: Listo para machacar,(2010),16,117.0,7.6,66.0,563316.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Killer Sally: La culturista asesina,(2022),16,149.0,6.8,NaN,2406.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
115,Kingsman: El círculo de oro,(2017),16,141.0,6.7,44.0,328134.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Kleo,(2022– ),16,44.0,7.4,NaN,7668.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,La bala perdida,(2020),16,92.0,6.3,78.0,10830.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,La bala perdida 2,(2022),14,98.0,6.3,NaN,1342.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
119,La casa Gucci,(2021),12,158.0,6.6,59.0,133744.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,La casa de papel,(2017–2021),16,70.0,8.2,NaN,474328.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,La caza,(I) (2013–2016),16,60.0,8.1,NaN,105790.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
122,La chica de la limpieza,(2022– ),,45.0,7.0,NaN,7134.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
123,La delgada línea azul,(2021– ),,60.0,8.1,NaN,4529.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,La huérfana: primer asesinato,(2022),16,99.0,5.9,54.0,29464.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
125,La industria del orgasmo: La historia de OneTaste,(2022),18,89.0,5.7,NaN,651.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,La memoria de un asesino,(2022),16,114.0,5.7,41.0,22171.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
127,La milla verde,(1999),13,189.0,8.6,61.0,1293397.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
128,La naranja mecánica,(1971),(Banned),136.0,8.3,77.0,827579.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
129,La toma del poder,(I) (2022),16,87.0,5.2,NaN,2483.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
