,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
128,La sirenita,(2023),,NaN,NaN,NaN,NaN,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
129,"Las crónicas de Narnia: El león, la bruja y el armario",(2005),7,143.0,6.9,75.0,398787.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
130,Las escalofriantes aventuras de Sabrina,(2018–2020),16,60.0,7.4,NaN,95211.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
131,Las vidas posibles de Mr. Nobody,(2009),16,141.0,7.8,63.0,234067.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
132,Legacies,(2018–2022),16,45.0,7.3,NaN,32015.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
133,Legión,(2010),16,100.0,5.2,32.0,105957.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
134,Liga de la Justicia,(2017),7,120.0,6.1,45.0,452585.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2595.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,Lo que hacemos en las sombras,(2019– ),16,30.0,8.6,NaN,77503.0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
137,Locke & Key,(2020–2022),13,48.0,7.3,NaN,86703.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
138,Loki,(2021– ),12,53.0,8.2,NaN,312965.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
139,Los Cazafantasmas,(1984),A,105.0,7.8,71.0,415739.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
140,Los Imperfectos,(2022),16,45.0,6.4,NaN,5132.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
141,Los inmortales,(1986),18,116.0,7.1,24.0,136642.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,Los mundos de Coraline,(2009),7,100.0,7.7,80.0,230464.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
143,Los originales,(2013–2018),12,45.0,8.3,NaN,136188.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
144,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,Lucifer,(2016–2021),12,42.0,8.1,NaN,322957.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
146,Luck,(I) (2022),TP,105.0,6.4,48.0,17658.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,Mandy,(I) (2018),18,121.0,6.5,81.0,79982.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
148,Matilda,(1996),7,98.0,6.9,72.0,153161.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
149,"Matilda de Roald Dahl, el musical",(2022),PG,117.0,6.0,67.0,237.0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
150,Men,(2022),16,100.0,6.1,65.0,37193.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
151,Merlín,(2008–2012),16,45.0,7.9,NaN,82365.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
152,Miracle Workers,(2019– ),12,22.0,7.1,NaN,14679.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
