,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
52,Dibujos maleficos,(1992),R,90.0,4.0,NaN,3088.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
53,Don't Hug Me I'm Scared,(2022– ),,23.0,8.8,NaN,2412.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
54,Dragon Ball,(1986–1989),7,24.0,8.6,NaN,57846.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Dragon Ball Super,(2015–2018),12,24.0,8.3,NaN,30450.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,Dragon Ball Super: Super Hero,(2022),12,100.0,7.2,65.0,8494.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Dragon Ball Z,(1989–1996),7,24.0,8.8,NaN,130716.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,El Grinch,(2018),A/i,85.0,6.3,51.0,70514.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,El alucinante mundo de Norman,(2012),7/i,92.0,7.0,72.0,103306.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,El asombroso mundo de Gumball,(2011–2019),TP,11.0,8.3,NaN,32251.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,El castillo ambulante,(2004),7,119.0,8.2,80.0,393163.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
62,El emperador y sus locuras,(2000),A,78.0,7.4,70.0,204511.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,El gato con botas: El último deseo,(2022),PG,NaN,NaN,NaN,NaN,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,El gigante de hierro,(1999),A,86.0,8.1,85.0,197280.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,El jorobado de Notre Dame,(1996),T,91.0,7.0,74.0,158385.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,El libro de la vida,(2014),7/i,95.0,7.2,67.0,71960.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,El monstruo marino,(2022),7,115.0,7.1,74.0,38828.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,El planeta del tesoro,(2002),A,95.0,7.2,60.0,119271.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,El príncipe de Egipto,(1998),A,99.0,7.1,64.0,132959.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,El príncipe dragón,(2018– ),7,26.0,8.4,NaN,22984.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,El regreso de Mary Poppins,(2018),A/i,130.0,6.7,66.0,88468.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,El rey de la colina,(1997–2010),16,30.0,7.5,NaN,53129.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
73,El rey león,(1994),A,88.0,8.5,88.0,1050747.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
74,El rey león,(2019),A,118.0,6.8,55.0,244745.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
75,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,756450.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
76,Elemental,(2023),,NaN,NaN,NaN,NaN,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Encantada: La historia de Giselle,(2007),7,107.0,7.1,75.0,199733.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,Encanto,(2021),A/i/fig,102.0,7.2,75.0,217334.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,Enredados,(2010),A/i,100.0,7.7,71.0,452122.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,Entergalactic,(2022),16,93.0,7.4,NaN,7019.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,Excepción,(2022– ),12,30.0,6.6,NaN,499.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
82,Fantástico Sr. Fox,(2009),A,87.0,7.9,83.0,231817.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,Frankenweenie,(2012),7,87.0,6.9,74.0,108841.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
