,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
74,El fantasma del Paraíso,(1974),,91.0,7.3,67.0,19759.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,El guardaespaldas,(1992),13,129.0,6.3,39.0,135234.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,El pianista,(2002),13,150.0,8.5,85.0,825953.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
77,El piano,(1993),13,121.0,7.5,89.0,89044.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
78,El ritmo del éxito,(2000),A,115.0,6.6,52.0,21782.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
79,El show de los Teleñecos,(1976–1981),,30.0,8.4,NaN,24754.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,El sonido de 007,(2022),,88.0,7.5,NaN,1004.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,El valle de las muñecas,(1967),PG-13,123.0,6.0,49.0,8921.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
82,El último dragón,(1985),13,109.0,6.8,58.0,16105.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,Elvis,(2022),12,159.0,7.4,64.0,140476.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
84,Elvis,(I) (1979 TV Movie),,150.0,7.0,NaN,4517.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,Empire,(2015–2020),12,42.0,7.4,NaN,39579.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
86,Empire Records,(1995),13,90.0,6.7,30.0,56346.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
87,En la cuerda floja,(2005),18,136.0,7.8,72.0,251725.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
88,En la playa de Chesil,(2017),7,110.0,6.3,62.0,11470.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
89,Entergalactic,(2022),16,93.0,7.4,NaN,7019.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
90,Escucha mi voz,(2004),PG,107.0,5.8,33.0,28093.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
91,Escuela de rock,(2003),A,109.0,7.2,82.0,306285.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
92,Espera al último baile,(2001),A,112.0,6.2,53.0,62813.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
93,Eternamente amigas,(1988),13,123.0,6.9,46.0,26977.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
94,Fama,(1980),TP,134.0,6.6,58.0,23001.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
95,Fantasía,(1940),A,125.0,7.7,96.0,97026.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,Fiebre del sábado noche,(1977),18,118.0,6.8,77.0,80698.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,Flashdance,(1983),A,95.0,6.2,39.0,54231.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
98,Florence Foster Jenkins,(2016),A,111.0,6.8,71.0,56511.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,Footloose,(1984),13,107.0,6.6,42.0,81626.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
100,Footloose 2011,(2011),7,113.0,5.8,58.0,50380.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
101,Forever Rich,(2021),16,89.0,5.5,NaN,1205.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Frank,(II) (2014),12,95.0,6.9,75.0,79468.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
103,George & Tammy,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Get Rich or Die Tryin',(2005),R,117.0,5.4,45.0,47695.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,Girls5eva,(2021– ),,30.0,7.2,NaN,3598.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
106,Glee,(2009–2015),A,44.0,6.8,NaN,148488.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
107,Gran bola de fuego,(1989),A,108.0,6.3,49.0,18132.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
108,Granujas a todo ritmo (The Blues Brothers),(1980),A,133.0,7.9,60.0,200085.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,Grease 2,(1982),A,115.0,4.5,52.0,36231.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
110,Green Book,(2018),12,130.0,8.2,69.0,486036.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,Green Room,(2015),16,95.0,7.0,79.0,124853.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
112,Ha nacido una estrella,(1976),14,139.0,6.1,59.0,11896.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
113,Ha nacido una estrella,(2018),12,136.0,7.6,88.0,382511.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
114,"Hairspray, fiebre de los 60",(1988),A,92.0,7.0,77.0,21725.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,Hannah Montana,(2006–2011),TP,23.0,5.2,NaN,40659.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
116,Hannah Montana: La película,(2009),TP,102.0,4.5,47.0,43026.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Happy Feet: Rompiendo el hielo,(2006),A,108.0,6.4,77.0,186839.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,Hasta que te encontré,(2018),A,108.0,6.6,36.0,17981.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,Hedwig and the Angry Inch,(2001),13,95.0,7.7,85.0,35937.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,High School Musical,(2006 TV Movie),TP,98.0,5.5,NaN,89172.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,High School Musical 3: Fin de curso,(2008),TP,112.0,4.9,57.0,63295.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Honey,(2003),A,94.0,5.3,37.0,45984.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
123,Horton,(2008),A,86.0,6.8,71.0,141341.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
