,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
125,Ley y orden,(1990– ),13,45.0,7.8,NaN,39022.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
126,Ley y orden: Unidad de víctimas especiales,(1999– ),18,60.0,8.1,NaN,106267.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
127,Line of Duty,(2012–2021),16,60.0,8.7,NaN,59139.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
128,Locke & Key,(2020–2022),13,48.0,7.3,NaN,86324.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
129,London Kills,(2019– ),,60.0,6.7,NaN,2214.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,Los 100,(2014–2020),16,43.0,7.6,NaN,250491.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
131,Los asesinatos de Midsomer,(1997– ),12,90.0,7.9,NaN,33483.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
132,Los misterios de Murdoch,(2008– ),7,48.0,8.2,NaN,14567.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
133,Los originales,(2013–2018),12,45.0,8.3,NaN,135903.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
134,Lou,(I) (2022),16,107.0,6.1,51.0,20450.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,167469.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
136,Magpie Murders,(2022– ),,45.0,7.4,NaN,2422.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
137,Maligno,(I) (2021),18,111.0,6.2,51.0,89934.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
138,Manifest,(2018– ),12,43.0,7.1,NaN,60673.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
139,Mare of Easttown,(2021),18,60.0,8.4,NaN,154527.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
140,Mentes criminales,(2005–2020),13,42.0,8.1,NaN,196520.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
141,Midsommar,(2019),18,148.0,7.1,72.0,316632.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
142,Mindhunter,(2017–2019),16,60.0,8.6,NaN,285847.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
143,Mira cómo corren,(2022),12,98.0,6.6,60.0,13794.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
144,Misa de medianoche,(2021),16,450.0,7.7,NaN,115259.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
145,Misterios sin resolver,(2020– ),13,45.0,7.3,NaN,10371.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
146,Monk,(2002–2009),13,44.0,8.0,NaN,75694.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,Monster House,(2006),7,91.0,6.6,68.0,121349.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,Mr. Midnight: Cuidado con los monstruos,(2022),18,28.0,5.2,NaN,219.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
149,Muerte en el Nilo,(2022),12,127.0,6.3,52.0,143314.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
150,Mujeres desesperadas,(2004–2012),12,45.0,7.6,NaN,129019.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
151,Mulholland Drive,(2001),18,147.0,7.9,85.0,355103.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
152,My Life Is Murder,(2019– ),,60.0,7.5,NaN,3704.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
154,NCIS: Hawai'i,(2021– ),,43.0,6.4,NaN,5895.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
155,Navy: Investigación criminal,(2003– ),12,60.0,7.8,NaN,147282.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,No hables con extraños,(I) (2020),13,363.0,7.3,NaN,50763.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
