,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER
217,The Pale Blue Eye,(2022),R,128.0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
218,The Purge: La noche de las bestias,(I) (2013),16,85.0,5.7,41.0,224822.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
219,The Retaliators,(2021),,95.0,5.2,48.0,666.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
220,The Ring (La señal),(2002),18,115.0,7.1,57.0,350680.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
221,The Rocky Horror Picture Show,(1975),13,100.0,7.4,65.0,153102.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
222,The Walking Dead,(2010–2022),18,44.0,8.1,NaN,978833.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
223,The descent,(2005),18,99.0,7.2,71.0,226065.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
224,Tiempo,(2021),16,108.0,5.8,55.0,118887.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
225,Titane,(2021),18,108.0,6.6,75.0,45295.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
226,Train to Busan,(2016),16,118.0,7.6,73.0,220010.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
227,Truco o trato: Terror en Halloween,(2007),13,82.0,6.7,NaN,94700.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
228,Tucker & Dale contra el mal,(2010),18,89.0,7.5,65.0,180910.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
229,Turno de día,(2022),16,113.0,6.1,51.0,71406.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
230,Tusk,(I) (2014),16,102.0,5.3,55.0,54667.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
231,Un hombre lobo americano en Londres,(1981),13,97.0,7.5,55.0,108557.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
232,Un lugar tranquilo,(2018),16,90.0,7.5,82.0,525255.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
233,Una pandilla alucinante,(1987),A,79.0,6.9,61.0,32994.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
234,V/H/S,(2012),16,116.0,5.8,54.0,63574.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
235,V/H/S/99,(2022),,109.0,5.2,58.0,3272.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
236,Viernes 13,(1980),18,95.0,6.4,22.0,141154.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
237,Viernes 13,(2009),18,97.0,5.5,34.0,108874.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
238,Viernes 13 (2.ª parte),(1981),18,87.0,6.0,26.0,69543.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
239,Viernes 13: El final. Jason se va al infierno,(1993),18,87.0,4.1,17.0,33288.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
240,Vigilante,(2022),16,332.0,6.5,NaN,38581.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
241,Violent Night,(2022),R,101.0,NaN,NaN,NaN,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
242,Watcher,(I) (2022),R,91.0,6.3,71.0,21379.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
243,Wendell & Wild,(2022),12,105.0,6.6,69.0,3436.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
244,Winnie-the-Pooh: Blood and Honey,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
245,X,(II) (2022),18,105.0,6.6,79.0,81839.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
246,Yellowjackets,(2021– ),16,60.0,7.9,NaN,45906.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
247,Zombies Party (Una noche... de muerte),(2004),16,99.0,7.9,76.0,557757.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
248,¡Nop!,(2022),12,130.0,6.9,77.0,148612.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
249,Última noche en el Soho,(2021),16,116.0,7.1,65.0,134027.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
