,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
126,Sin novedad en el frente,(2022),16,148.0,7.9,75.0,26411.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
127,Sin remordimientos,(II) (2021),16,109.0,5.8,41.0,58233.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
128,Six,(2017–2018),16,60.0,7.2,NaN,12865.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
129,Snowdrop,(2021– ),16,85.0,8.2,NaN,9971.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
130,Strike Back,(2010–2020),18,45.0,8.1,NaN,31888.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
131,The Forgotten Battle,(2020),16,124.0,7.1,NaN,29401.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
132,The Hunger Games: The Ballad of Songbirds and Snakes,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
133,The Imitation Game (Descifrando Enigma),(2014),7/fig,114.0,8.0,71.0,765808.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
134,The King,(I) (2019),16,140.0,7.3,62.0,129330.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
135,The Last Ship,(2014–2018),16,60.0,7.4,NaN,59026.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
136,The Outpost,(2019),16,123.0,6.8,71.0,34877.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
137,The Pacific,(2010),18,530.0,8.3,NaN,112550.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,Tiempos de gloria,(1989),13,122.0,7.8,78.0,135587.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
139,Tolkien,(2019),7,112.0,6.8,48.0,41325.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
140,Tres reyes,(1999),18,114.0,7.1,82.0,172791.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,Tropic Thunder: ¡Una guerra muy perra!,(2008),18,107.0,7.0,71.0,415827.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
142,Valkiria,(2008),13,121.0,7.1,56.0,245442.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
143,Versailles,(2015–2018),16,52.0,7.9,NaN,16914.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
144,Vikingos,(2013–2020),18,44.0,8.5,NaN,528781.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
145,Vikingos: Valhalla,(2022– ),,51.0,7.2,NaN,38726.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
146,Wonder Woman,(2017),12,141.0,7.4,76.0,655197.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
147,Yo me encargo de la cerveza,(2022),16,126.0,6.8,39.0,13331.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
148,Zeppelin,(1971),,100.0,6.1,NaN,1453.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
149,¿Teléfono rojo? Volamos hacia Moscú,(1964),18,95.0,8.4,97.0,489847.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
